[ServiceContract(CallbackContract=typeof(ICallbackContract))]
interface ISomeContractDuplex
{
//-----------------------------------------------------------------------------
	[OperationContract(IsOneWay=true)]
	void SomeOperation(string Input);
//-----------------------------------------------------------------------------
}

interface ICallbackContract
{
//-----------------------------------------------------------------------------
	[OperationContract(IsOneWay=true)]
	void SomeCallbackOperation(string Input);
//-----------------------------------------------------------------------------
}


Level LCLog=0.
Ukazuje ako sa chova WCF ak Callback SomeCallbackOperation() je [OneWay], ale nevracia ziadnu navratovu hodnotu.
Pocet sprav je 4 (2*2-M su zachytene Senderom aj Receiverom, peto zdvojenie), kde jedna je Send a druha volanie Callback.
Response na Send sa neposiel kedze SomeOperation() je [OneWay].
Response na Send sa neposiel kedze SomeCallbackOperation() je [OneWay].




T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CanBuildChannelListener() called 1 !
T: 17.9.2007 15:33:58, S: TCP, M1: CLCBindingElement.CanBuildChannelListener() called 2 !, M2: Result: False
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CanBuildChannelListener() called 1 !
T: 17.9.2007 15:33:58, S: TCP, M1: CLCBindingElement.CanBuildChannelListener() called 2 !, M2: Result: False
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CanBuildChannelListener() called 1 !
T: 17.9.2007 15:33:58, S: TCP, M1: CLCBindingElement.CanBuildChannelListener() called 2 !, M2: Result: True
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.BuildChannelListener() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CanBuildChannelListener() called 1 !
T: 17.9.2007 15:33:58, S: TCP, M1: CLCBindingElement.CanBuildChannelListener() called 2 !, M2: Result: True
T: 17.9.2007 15:33:58, S: TCP, M: CLCChannelListener<TShape>.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCChannelListener<TShape>.GetProperty() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCChannelListener<TShape>.get_Uri() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCChannelListener<TShape>.OnOpen() called !
T: 17.9.2007 15:33:58, S: TCP, M: CLCChannelListener<TShape>.OnBeginAcceptChannel() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 15:34:01, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
