Messages je 4, teda 2 M zachytene 2 krat.

Su to Send a Response-Send.


T: 17.9.2007 16:23:11, S: TCP, M: CLCBinding.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CanBuildChannelListener() called 1 !
T: 17.9.2007 16:23:12, S: TCP, M1: CLCBindingElement.CanBuildChannelListener() called 2 !, M2: Result: False
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CanBuildChannelListener() called 1 !
T: 17.9.2007 16:23:12, S: TCP, M1: CLCBindingElement.CanBuildChannelListener() called 2 !, M2: Result: False
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CanBuildChannelListener() called 1 !
T: 17.9.2007 16:23:12, S: TCP, M1: CLCBindingElement.CanBuildChannelListener() called 2 !, M2: Result: False
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CanBuildChannelListener() called 1 !
T: 17.9.2007 16:23:12, S: TCP, M1: CLCBindingElement.CanBuildChannelListener() called 2 !, M2: Result: False
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CanBuildChannelListener() called 1 !
T: 17.9.2007 16:23:12, S: TCP, M1: CLCBindingElement.CanBuildChannelListener() called 2 !, M2: Result: True
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.BuildChannelListener() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CanBuildChannelListener() called 1 !
T: 17.9.2007 16:23:12, S: TCP, M1: CLCBindingElement.CanBuildChannelListener() called 2 !, M2: Result: True
T: 17.9.2007 16:23:12, S: TCP, M: CLCChannelListener<TShape>.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCChannelListener<TShape>.GetProperty() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.Clone() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCChannelListener<TShape>.get_Uri() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCChannelListener<TShape>.OnOpen() called !
T: 17.9.2007 16:23:12, S: TCP, M: CLCChannelListener<TShape>.OnBeginAcceptChannel() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBindingElement.GetProperty() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBinding.CreateBECollection() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBindingElement.CONSTRUCTOR() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBinding.CreateBindingElements() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCBinding.CreateBECollection() called !
